Date,Clicks,Impressions,CTR,Position
2026-06-20,0,1,0%,5
2026-06-21,0,6,0%,4.3
2026-06-22,2,45,4.44%,49.6
2026-06-23,1,46,2.17%,55.5
2026-06-24,0,20,0%,63
2026-06-25,1,17,5.88%,57.1
2026-06-26,0,6,0%,31.8
2026-06-27,0,11,0%,17.3
2026-06-28,0,3,0%,25.3
2026-06-29,0,1,0%,37
2026-06-30,0,0,,
2026-07-01,0,0,,
2026-07-02,0,0,,
2026-07-03,1,14,7.14%,6.4
2026-07-04,1,88,1.14%,8.9
2026-07-05,0,139,0%,9.4
2026-07-06,1,133,0.75%,10.3
2026-07-07,0,122,0%,8.9
2026-07-08,1,127,0.79%,9.1
2026-07-09,1,89,1.12%,11.4
2026-07-10,0,93,0%,9.1
2026-07-11,2,117,1.71%,11.8
2026-07-12,2,115,1.74%,13.2
2026-07-13,0,109,0%,10.2
2026-07-14,0,137,0%,15.1
2026-07-15,1,121,0.83%,11.5
2026-07-16,1,122,0.82%,10.9
2026-07-17,2,93,2.15%,7.3
2026-07-18,1,44,2.27%,12.8
2026-07-19,0,27,0%,21.4
2026-07-20,1,74,1.35%,19.9
2026-07-21,3,78,3.85%,16.1
2026-07-22,2,62,3.23%,17
2026-07-23,1,75,1.33%,18.1
2026-07-24,1,54,1.85%,16.6
2026-07-25,1,69,1.45%,12.7
2026-07-26,1,40,2.5%,15.8
2026-07-27,0,78,0%,17.6
2026-07-28,0,67,0%,21
2026-07-29,0,80,0%,21.5
2026-07-30,3,100,3%,21.6
2026-07-31,0,95,0%,12.8
2026-08-01,2,159,1.26%,11.6
2026-08-02,1,236,0.42%,11.1
2026-08-03,3,396,0.76%,9.7
2026-08-04,3,510,0.59%,8.2
2026-08-05,7,650,1.08%,7.8
2026-08-06,3,655,0.46%,8
2026-08-07,4,677,0.59%,7.3
2026-08-08,11,762,1.44%,7.5
2026-08-09,8,886,0.9%,8.7
