Country,Clicks,Impressions,CTR,Position
India,41,3087,1.33%,7.84
United States,7,881,0.79%,20.13
Indonesia,5,425,1.18%,8.07
Vietnam,2,159,1.26%,20.4
Egypt,2,139,1.44%,8.52
Turkey,2,109,1.83%,12.47
Malaysia,2,75,2.67%,15.16
Philippines,1,247,0.4%,11.64
Pakistan,1,236,0.42%,8.51
Nigeria,1,123,0.81%,6.98
Bangladesh,1,121,0.83%,9.02
South Korea,1,74,1.35%,6.49
Russia,1,74,1.35%,9.46
Ethiopia,1,46,2.17%,7
Belgium,1,14,7.14%,6.5
Romania,1,10,10%,9.7
Paraguay,1,7,14.29%,5.14
Serbia,1,7,14.29%,7.14
Zambia,1,6,16.67%,9.83
United Kingdom,0,184,0%,32.17
Netherlands,0,96,0%,8.32
Kenya,0,93,0%,8.25
Thailand,0,69,0%,15.36
Saudi Arabia,0,66,0%,11.21
South Africa,0,65,0%,6.02
Germany,0,58,0%,7.93
Morocco,0,51,0%,11.96
Canada,0,49,0%,10.43
Mexico,0,47,0%,12.85
Brazil,0,45,0%,11.16
United Arab Emirates,0,39,0%,7.41
Hong Kong,0,37,0%,7.46
Italy,0,33,0%,6.73
Spain,0,28,0%,16.79
Singapore,0,27,0%,7.11
Venezuela,0,27,0%,23.3
Algeria,0,25,0%,10.96
Ukraine,0,25,0%,15.72
Australia,0,24,0%,11.04
Colombia,0,22,0%,8.09
Japan,0,22,0%,8.23
France,0,22,0%,14.41
Argentina,0,21,0%,7.81
Sri Lanka,0,19,0%,4.84
Portugal,0,18,0%,6.33
Taiwan,0,18,0%,7.11
Benin,0,17,0%,6.59
Poland,0,17,0%,7.18
Uganda,0,15,0%,6.13
Rwanda,0,15,0%,6.93
Greece,0,15,0%,7.07
Iraq,0,15,0%,17.67
Ghana,0,14,0%,7.14
Chile,0,14,0%,7.64
Israel,0,14,0%,9.29
Jordan,0,14,0%,19.14
Sweden,0,13,0%,6.46
Syria,0,13,0%,6.69
Peru,0,13,0%,8.85
Nepal,0,13,0%,13.38
Togo,0,11,0%,7
Switzerland,0,10,0%,7.6
China,0,10,0%,7.8
Albania,0,10,0%,8.3
Ireland,0,9,0%,3.67
Namibia,0,9,0%,6.78
Finland,0,9,0%,7.22
Hungary,0,9,0%,7.22
Bulgaria,0,8,0%,5.75
Croatia,0,8,0%,6
Puerto Rico,0,8,0%,6.12
Cameroon,0,8,0%,7.38
Iran,0,8,0%,7.38
Madagascar,0,8,0%,8.88
Denmark,0,8,0%,10.12
Tanzania,0,7,0%,5.86
Jamaica,0,7,0%,6
New Zealand,0,7,0%,7.43
Libya,0,7,0%,25.14
Mauritius,0,6,0%,5
Dominican Republic,0,6,0%,6.67
Norway,0,6,0%,6.83
Honduras,0,6,0%,7
Estonia,0,6,0%,8.33
Palestine,0,6,0%,12.33
Costa Rica,0,6,0%,14
Oman,0,6,0%,17
Czechia,0,5,0%,6
Yemen,0,5,0%,6
Botswana,0,5,0%,6.4
Nicaragua,0,5,0%,6.6
Armenia,0,5,0%,6.8
Austria,0,5,0%,7.4
Bolivia,0,5,0%,7.6
Slovakia,0,5,0%,7.6
Slovenia,0,5,0%,7.8
Macedonia,0,5,0%,8.2
Uzbekistan,0,4,0%,3.5
Ecuador,0,4,0%,5.25
Zimbabwe,0,4,0%,7
Congo - Kinshasa,0,4,0%,7.25
Moldova,0,4,0%,7.25
Tunisia,0,4,0%,7.75
Myanmar (Burma),0,4,0%,8
Angola,0,4,0%,8.25
Panama,0,4,0%,8.75
El Salvador,0,4,0%,9.25
Senegal,0,4,0%,10
Trinidad & Tobago,0,4,0%,10.25
Azerbaijan,0,4,0%,16.5
Belarus,0,3,0%,3
Afghanistan,0,3,0%,3.67
Lithuania,0,3,0%,5.67
Latvia,0,3,0%,6.33
Georgia,0,3,0%,6.67
Kyrgyzstan,0,3,0%,6.67
Mozambique,0,3,0%,7.33
Guatemala,0,3,0%,7.67
Cambodia,0,3,0%,7.67
Malta,0,3,0%,8
Lebanon,0,3,0%,10.33
Qatar,0,2,0%,5.5
Cuba,0,2,0%,7
Papua New Guinea,0,2,0%,7
Bhutan,0,2,0%,8.5
Uruguay,0,2,0%,9
Cyprus,0,2,0%,9.5
Malawi,0,2,0%,9.5
St. Vincent & Grenadines,0,2,0%,9.5
Mali,0,2,0%,14
Bahamas,0,1,0%,2
Côte d’Ivoire,0,1,0%,4
Luxembourg,0,1,0%,4
Suriname,0,1,0%,5
Kuwait,0,1,0%,6
Montenegro,0,1,0%,6
Aruba,0,1,0%,7
Fiji,0,1,0%,8
Kazakhstan,0,1,0%,8
Sierra Leone,0,1,0%,8
Somalia,0,1,0%,8
Faroe Islands,0,1,0%,9
South Sudan,0,1,0%,9
Bosnia & Herzegovina,0,1,0%,11
Swaziland,0,1,0%,21
